company_name,stock_code
BBR HOLDINGS (S) LTD,KJ5
COGENT HLDGS ,KJ9
QINGMEI GROUP HLDGS LTD,KT9
INTERNATIONAL CEMENT GROUP LTD,KUO
OIO HOLDINGS LIMITED,KUX
MANHATTAN RESOURCES LTD,L02
LIAN BENG GROUP LTD,L03
LTC CORP ,L17
LUM CHANG HOLDINGS LTD,L19
CONSCIENCEFOOD HOLDING LIMITED,L1D
LANKOM ELECTRONICS LIMITED,L22
ENVIRO-HUB HOLDINGS LTD,L23
LMA INTERNATIONAL N.V.,L24
LEE KIM TAH HLDGS LTD,L25
AF GLOBAL LTD,L38
LUZHOU BIO-CHEM TECHNOLOGY LTD,L46
ABTERRA ,L5I
VIZ BRANZ LIMITED,L5J
OUE LIMITED,LJ3
LEADER ENVIRONMENTAL TECHNOLOGIES,LS9
RAFFLES INFRASTRUCTURE HOLDINGS LTD,LUY
METRO HOLDINGS LTD,M01
MIYOSHI LTD,M03
MTQ CORPORATION LTD,M05
MANUFACTURING INTEGRATION TECHNOLOGY LTD.,M11
INNOTEK LIMITED,M14
MATEX INTERNATIONAL LTD,M15
SABANA SHARI'AH COMPLIANT REIT,M1GU
INTERPLEX HLDGS LTD (FORMERLY AMTEK ENGINEERING LTD),M1P
TEE INTERNATIONAL LIMITED,M1Z
MEGHMANI ORGANICS LTD,M30
WHEELOCK PROPERTIES (S) ,M35
MAPLETREE LOGISTICS TRUST,M44U
CHINA ENVIRONMENTAL RESOURCES GROUP LTD,M8J
GLOBAL LOGISTIC PROPERTIES,MC0
MAPLETREE INDUSTRIAL TRUST,ME8U
MUN SIONG ENGINEERING LIMITED,MF6
ALLIANCE HEALTHCARE GROUP LTD,MIJ
XINREN ALUMINUM HLDGS LTD,MN5
NORDIC GROUP LIMITED,MR7
NOVO GROUP,MR8
VARD HLDGS ,MS7
DRAGON GROUP INTERNATIONAL,MT1
MEWAH INTERNATIONAL INC.,MV4
NERA TELECOMMUNICATIONS LTD,N01
NSL LTD.,N02
NEPTUNE ORIENT LINES LTD,N03
NEW TOYO INTERNATIONAL HLDGS ,N08
COMBINE WILL INTERNATIONAL HLDGS ,N0Z
M DEVELOPMENT,N14
MAPLETREE COMMERCIAL TRUST,N2IU
NIPPECRAFT LIMITED,N32
NAM CHEONG LTD,N4E
INTERNET TECHNOLOGY GRP LTD,N6H
